"filename", "language", "JSON with Comments", "vue", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\Coding\Vue\HyperMusic_frontend\src\views\dev.vue", "vue", 0, 506, 0, 0, 0, 0, 0, 8, 18, 532
"d:\Coding\Vue\HyperMusic_frontend\src\views\homepage\ArtistPage.vue", "vue", 0, 151, 0, 0, 0, 0, 0, 0, 4, 155
"d:\Coding\Vue\HyperMusic_frontend\src\views\homepage\DiscoverPage.vue", "vue", 0, 199, 0, 0, 0, 0, 0, 0, 4, 203
"d:\Coding\Vue\HyperMusic_frontend\src\views\homepage\PlayListPage.vue", "vue", 0, 118, 0, 0, 0, 0, 0, 0, 3, 121
"d:\Coding\Vue\HyperMusic_frontend\src\views\homepage\SongPage.vue", "vue", 0, 119, 0, 0, 0, 0, 0, 0, 3, 122
"d:\Coding\Vue\HyperMusic_frontend\src\views\homepage\TopListPage.vue", "vue", 0, 134, 0, 0, 0, 0, 0, 0, 4, 138
"d:\Coding\Vue\HyperMusic_frontend\src\views\loading\loading.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\Coding\Vue\HyperMusic_frontend\src\views\loading\loading.vue", "vue", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Coding\Vue\HyperMusic_frontend\src\views\specific\AlbumPage.vue", "vue", 0, 351, 0, 0, 0, 0, 0, 4, 9, 364
"d:\Coding\Vue\HyperMusic_frontend\src\views\specific\SingerPage.vue", "vue", 0, 347, 0, 0, 0, 0, 0, 11, 8, 366
"d:\Coding\Vue\HyperMusic_frontend\src\views\specific\SongPage.vue", "vue", 0, 175, 0, 0, 0, 0, 0, 0, 14, 189
"d:\Coding\Vue\HyperMusic_frontend\theme\index.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Coding\Vue\HyperMusic_frontend\vue.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 8, 13256, 995, 10520, 281, 19, 24, 436, 596, 26135
